source_name
Taylor Harwood-Bellis
Mateus Fernandes
Alex McCarthy
Chris Wood
Taiwo Awoniyi
Callum Hudson-Odoi
Willy Boly
Anthony Elanga
Morgan Gibbs-White
Jota Silva
Elliot Anderson
Nicolás Domínguez
Ibrahim Sangaré
Ryan Yates
Ola Aina
Murillo
Nikola Milenković
Neco Williams
Matz Sels
Ollie Watkins
Jhon Durán
Morgan Rogers
John McGinn
Jacob Ramsey
Youri Tielemans
Amadou Onana
Ross Barkley
Leon Bailey
Lucas Digne
Ian Maatsen
Pau Torres
Ezri Konsa
Matty Cash
Kosta Nedeljković
Emiliano Martínez
Kai Havertz
Gabriel Martinelli
Leandro Trossard
Bukayo Saka
Reiss Nelson
Declan Rice
Thomas Partey
Martin Ødegaard
Jurriën Timber
Riccardo Calafiori
Gabriel Magalhães
William Saliba
Ben White
David Raya
Evanilson
Luis Sinisterra
Marcus Tavernier
Daniel Jebbison
Antoine Semenyo
Justin Kluivert
Dango Ouattara
Ryan Christie
Alex Scott
Lewis Cook
Milos Kerkez
Marcos Senesi
Illia Zabarnyi
Julian Araujo
Adam Smith
Neto
Alexander Isak
Anthony Gordon
Miguel Almirón
Jacob Murphy
Harvey Barnes
Joelinton
Bruno Guimarães
Sean Longstaff
Joe Willock
Lloyd Kelly
Lewis Hall
Dan Burn
Emil Krafth
Valentino Livramento
Kieran Trippier
Nick Pope
Jørgen Strand Larsen
Jean-Ricner Bellegarde
Rodrigo Gomes
Hwang Hee-chan
Daniel Podence
Matheus Cunha
Pablo Sarabia
Mario Lemina
Tommy Doyle
João Gomes
Rayan Aït-Nouri
Craig Dawson
Toti Gomes
Yerson Mosquera
Matt Doherty
José Sá
Nicolas Jackson
João Félix
Mykhailo Mudryk
Pedro Neto
Noni Madueke
Cole Palmer
Christopher Nkunku
Enzo Fernández
Moisés Caicedo
Kiernan Dewsbury-Hall
Marc Cucurella
Renato Veiga
Levi Colwill
Wesley Fofana
Malo Gusto
Robert Sánchez
Diogo Jota
Darwin Núñez
Luis Díaz
Cody Gakpo
Mohamed Salah
Harvey Elliott
Dominik Szoboszlai
Alexis Mac Allister
Ryan Gravenberch
Wataru Endo
Andrew Robertson
Virgil van Dijk
Ibrahima Konaté
Trent Alexander-Arnold
Conor Bradley
Alisson
Yoane Wissa
Kevin Schade
Bryan Mbeumo
Keane Lewis-Potter
Mikkel Damsgaard
Vitaly Janelt
Frank Onyeka
Christian Nørgaard
Mathias Jensen
Fabio Carvalho
Kristoffer Ajer
Ethan Pinnock
Nathan Collins
Mads Roerslev
Mark Flekken
Kai Havertz
Leandro Trossard
Riccardo Calafiori
Bukayo Saka
Declan Rice
Thomas Partey
Martin Ødegaard
Gabriel Martinelli
Jurriën Timber
Oleksandr Zinchenko
Gabriel Magalhães
William Saliba
Ben White
David Raya
Danny Welbeck
Julio Enciso
Kaoru Mitoma
Simon Adingra
Yankuba Minteh
Georginio Rutter
João Pedro
Carlos Baleba
James Milner
Yasin Ayari
Jack Hinshelwood
Lewis Dunk
Jan Paul van Hecke
Joël Veltman
Pervis Estupiñán
Bart Verbruggen
Dominic Calvert-Lewin
Beto
Iliman Ndiaye
Abdoulaye Doucouré
Jack Harrison
Dwight McNeil
Idrissa Gana Gueye
Tim Iroegbunam
Vitaliy Mykolenko
Michael Keane
James Tarkowski
Séamus Coleman
Jordan Pickford
Evanilson
Luis Sinisterra
Marcus Tavernier
Antoine Semenyo
Justin Kluivert
Ryan Christie
Alex Scott
Lewis Cook
Milos Kerkez
Dango Ouattara
Marcos Senesi
Dean Huijsen
Illia Zabarnyi
Julian Araujo
Adam Smith
Kepa Arrizabalaga
Jamie Vardy
Jordan Ayew
Stephy Mavididi
Abdul Fatawu Issahaku
Facundo Buonanotte
Wilfred Ndidi
Bobby Reid
Oliver Skipp
Bilal El Khannouss
Harry Winks
Victor Bernth Kristiansen
Caleb Okoli
Kasey McAteer
Wout Faes
James Justin
Mads Hermansen
Ollie Watkins
Jhon Durán
Morgan Rogers
John McGinn
Youri Tielemans
Amadou Onana
Ross Barkley
Leon Bailey
Jacob Ramsey
Ian Maatsen
Lucas Digne
Pau Torres
Ezri Konsa
Lamare Bogarde
Kosta Nedeljković
Emiliano Martínez
Chris Wood
Callum Hudson-Odoi
Ramón Sosa
Anthony Elanga
Jota Silva
Morgan Gibbs-White
Elliot Anderson
Taiwo Awoniyi
Ibrahim Sangaré
Ryan Yates
Ola Aina
Murillo
Nikola Milenković
Neco Williams
Matz Sels
Jørgen Strand Larsen
André
Matheus Cunha
Rayan Aït-Nouri
Hwang Hee-chan
Mario Lemina
João Gomes
Tommy Doyle
Jean-Ricner Bellegarde
Gonçalo Guedes
Toti Gomes
Craig Dawson
Yerson Mosquera
Nélson Semedo
Matt Doherty
Sam Johnstone
Liam Delap
Ali Al Hamadi
Sammie Szmodics
Jack Clarke
Chiedozie Ogbene
Conor Chaplin
Omari Hutchinson
Kalvin Phillips
Jens Cajuste
Sam Morsy
Leif Davis
Jacob Greaves
Luke Woolfenden
Axel Tuanzebe
Arijanet Muric
Rodrigo Muniz
Raúl Jiménez
Alex Iwobi
Harry Wilson
Adama Traoré
Emile Smith Rowe
